strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
NormalizedAvalanche,999,24,1564.71,8,0.192,0.0,True,818.3
PPO,999,25,1260.21,10,0.235,0.0,True,811.2
MinimumOnly,999,25,1311.49,10,0.2302,0.0,True,812.0
Snowball,999,25,1608.45,11,0.2563,0.0,True,807.7
Avalanche,999,25,1251.42,9,0.2627,0.0,True,806.6
NormalizedAvalanche,999,25,1305.44,9,0.2557,0.0,True,807.8
PPO,999,26,667.89,9,0.1896,0.0,True,818.7
MinimumOnly,999,26,713.08,8,0.2088,0.0,True,815.5
Snowball,999,26,794.0,9,0.2025,0.0,True,816.6
Avalanche,999,26,674.7,9,0.1972,0.0,True,817.5
NormalizedAvalanche,999,26,670.39,8,0.2015,0.0,True,816.7
PPO,999,27,442.25,4,0.1525,0.0,True,824.8
MinimumOnly,999,27,474.32,4,0.153,0.0,True,824.8
Snowball,999,27,596.51,5,0.1741,0.0,True,821.3
Avalanche,999,27,462.02,5,0.1498,0.0,True,825.3
NormalizedAvalanche,999,27,442.87,4,0.1408,0.0,True,826.8
PPO,999,28,486.12,6,0.1895,0.0,True,818.7
MinimumOnly,999,28,445.83,6,0.1575,0.0,True,824.0
Snowball,999,28,505.92,6,0.1939,0.0,True,818.0
Avalanche,999,28,485.0,6,0.1919,0.0,True,818.3
NormalizedAvalanche,999,28,435.65,6,0.1501,0.0,True,825.2
PPO,999,29,1438.76,8,0.233,0.0,True,811.6
MinimumOnly,999,29,1448.39,7,0.2668,0.0,True,806.0
Snowball,999,29,1697.99,8,0.2717,0.0,True,805.2
Avalanche,999,29,1399.07,8,0.2546,0.0,True,808.0
NormalizedAvalanche,999,29,1441.85,7,0.2618,0.0,True,806.8
PPO,999,30,5116.65,19,0.2454,0.0,True,809.5
MinimumOnly,999,30,5411.44,19,0.2371,0.0,True,810.9
Snowball,999,30,5047.09,19,0.2458,0.0,True,809.4
Avalanche,999,30,5047.09,19,0.2458,0.0,True,809.4
NormalizedAvalanche,999,30,5364.67,18,0.2491,0.0,True,808.9
PPO,999,31,3431.62,20,0.1966,0.0,True,817.6
MinimumOnly,999,31,3521.66,19,0.2092,0.0,True,815.5
Snowball,999,31,3679.66,20,0.2095,0.0,True,815.4
Avalanche,999,31,3449.65,19,0.2095,0.0,True,815.4
NormalizedAvalanche,999,31,3442.96,19,0.2062,0.0,True,816.0
PPO,999,32,2373.58,12,0.1784,0.0,True,820.6
MinimumOnly,999,32,2603.38,12,0.1815,0.0,True,820.0
Snowball,999,32,2639.52,13,0.1858,0.0,True,819.3
Avalanche,999,32,2639.52,13,0.1858,0.0,True,819.3
NormalizedAvalanche,999,32,2528.94,12,0.1734,0.0,True,821.4
PPO,999,33,1225.7,10,0.1872,0.0,True,819.1
MinimumOnly,999,33,1245.44,9,0.1899,0.0,True,818.7
Snowball,999,33,1339.43,11,0.1898,0.0,True,818.7
Avalanche,999,33,1339.43,11,0.1898,0.0,True,818.7
NormalizedAvalanche,999,33,1253.01,9,0.1882,0.0,True,818.9
PPO,999,34,4862.26,23,0.1834,0.0,True,819.7
MinimumOnly,999,34,5327.72,22,0.1909,0.0,True,818.5
Snowball,999,34,5851.07,22,0.199,0.0,True,817.2
Avalanche,999,34,4672.44,22,0.1879,0.0,True,819.0
NormalizedAvalanche,999,34,5068.7,22,0.1885,0.0,True,818.9
PPO,999,35,887.46,8,0.1681,0.0,True,822.3
MinimumOnly,999,35,927.93,8,0.1615,0.0,True,823.4
Snowball,999,35,947.98,8,0.1728,0.0,True,821.5
Avalanche,999,35,889.32,8,0.1777,0.0,True,820.7
NormalizedAvalanche,999,35,891.29,8,0.1585,0.0,True,823.9
PPO,999,36,2478.11,12,0.2008,0.0,True,816.9
MinimumOnly,999,36,2724.92,12,0.1949,0.0,True,817.8
Snowball,999,36,2914.36,13,0.2043,0.0,True,816.3
Avalanche,999,36,2500.46,12,0.2034,0.0,True,816.4
NormalizedAvalanche,999,36,2582.45,12,0.1913,0.0,True,818.4
PPO,999,37,1536.41,10,0.2292,0.0,True,812.2
MinimumOnly,999,37,1482.39,10,0.2145,0.0,True,814.6
Snowball,999,37,1637.41,11,0.2257,0.0,True,812.8
Avalanche,999,37,1637.41,11,0.2257,0.0,True,812.8
NormalizedAvalanche,999,37,1468.28,10,0.2099,0.0,True,815.4
PPO,999,38,3823.26,15,0.2437,0.0,True,809.8
MinimumOnly,999,38,4031.53,15,0.2532,0.0,True,808.2
Snowball,999,38,4090.01,15,0.2603,0.0,True,807.1
Avalanche,999,38,3830.99,15,0.2488,0.0,True,809.0
NormalizedAvalanche,999,38,3862.28,15,0.2438,0.0,True,809.8
PPO,999,39,3273.62,14,0.2157,0.0,True,814.4
MinimumOnly,999,39,3605.59,14,0.2159,0.0,True,814.4
Snowball,999,39,3994.2,15,0.2207,0.0,True,813.6
Avalanche,999,39,3296.93,14,0.2177,0.0,True,814.1
NormalizedAvalanche,999,39,3402.95,14,0.2127,0.0,True,814.9
PPO,999,40,4507.04,20,0.2006,0.0,True,816.9
MinimumOnly,999,40,4433.21,20,0.2001,0.0,True,817.0
Snowball,999,40,4791.05,20,0.2098,0.0,True,815.4
Avalanche,999,40,4356.04,20,0.2082,0.0,True,815.6
NormalizedAvalanche,999,40,4287.55,19,0.2077,0.0,True,815.7
PPO,999,41,856.52,6,0.1739,0.0,True,821.3
MinimumOnly,999,41,1052.45,7,0.1537,0.0,True,824.6
Snowball,999,41,1263.04,7,0.1767,0.0,True,820.9
Avalanche,999,41,859.12,6,0.1756,0.0,True,821.0
NormalizedAvalanche,999,41,979.43,6,0.1737,0.0,True,821.3
PPO,999,42,2664.59,17,0.2352,0.0,True,811.2
MinimumOnly,999,42,2741.74,17,0.2399,0.0,True,810.4
Snowball,999,42,2765.42,18,0.2345,0.0,True,811.3
